,country_name,city_name,measure,aqi_level,lat,lon
196,Haiti,Hinche,max_aqi,144,19.1445541,-72.0087527
197,Somalia,Bosaso,max_aqi,160,11.27848,49.179952
198,Philippines,Malanday,max_aqi,165,14.7183212,120.9571742
199,Latvia,Jurmala,max_aqi,56,56.9727164,23.7886979
200,Chad,Faya,max_aqi,156,47.3187082,-1.602319
201,New Zealand,Waitakere,max_aqi,70,-36.848987,174.5442266
202,Tunisia,Bin Qirdan,max_aqi,167,15.221991,44.231644
203,Vietnam,Son Tay,max_aqi,194,21.1410048,105.505651
204,Iran,Eslamshahr,max_aqi,235,35.5478513,51.2318676
205,Mexico,Tepeapulco,max_aqi,384,19.806301050000002,-98.50600450340094
206,Japan,Sobue,max_aqi,136,39.0293524,46.5875512
207,El Salvador,Ilopango,max_aqi,151,13.6708753,-89.044847
208,Bulgaria,Pestera,max_aqi,92,44.1842829,28.1269829
209,Nigeria,Shagamu,max_aqi,217,6.8477165,3.6440551
210,South Sudan,Tonj,max_aqi,84,8.211859700000002,29.158057505600063
211,Guatemala,Ciudad Vieja,max_aqi,129,14.512764350000001,-90.7698852760732
212,Ireland,Skerries,max_aqi,64,60.4208012,-0.7703309139221506
213,Turkey,Cizre,max_aqi,121,37.3324374,42.1854699
214,Peru,Chosica,max_aqi,179,-11.9367735,-76.6969111
215,Dem. Rep. Congo,Kasongo Lunda,max_aqi,481,-6.4786095,16.8168133
216,Canada,Amherstburg,max_aqi,83,42.101309,-83.1086801
217,Switzerland,Geneva,max_aqi,128,31.0862933,-85.803014
218,Denmark,Bronderslev,max_aqi,54,57.20647315,10.189037439154802
219,Cameroon,Loum,max_aqi,124,10.634295000000002,-5.370284538192811
220,Australia,Palmerston,max_aqi,264,-40.356317,175.6112388
221,Portugal,Cascais,max_aqi,47,38.6968919,-9.4204495
222,Côte d'Ivoire,Anyama,max_aqi,138,5.4958898,-4.056921
223,Sweden,Skelleftea,max_aqi,80,64.7520185,20.959339
224,Ethiopia,Bati,max_aqi,178,49.1714752,5.9697458
225,Thailand,Bang Yai,max_aqi,164,13.7393851,100.4854309
